NumberOfPublicAttributes;Bugged;NumberOfPrivateAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfAncestors;NumberOfAttributes;NumberOfPolymorphicMethods;Cohesion;NumberOfCoupledClasses;NumberOfSubclasses;NumberOfProtectedAttributes
0.0;False;2.0;0.0;4.0;0.0;8.0;0.0;2.0;7.0;0.125;0.0;0.0;0.0
0.0;False;5.0;0.0;10.0;0.0;15.0;0.0;5.0;14.0;0.1;0.0;0.0;0.0
0.0;False;2.0;0.0;4.0;0.0;7.0;0.0;2.0;7.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;4.0;0.0;7.0;0.0;2.0;7.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;4.0;0.0;8.0;0.0;2.0;8.0;0.125;0.0;0.0;0.0
0.0;False;2.0;0.0;5.0;0.0;9.0;0.0;2.0;9.0;0.1111111111111111;0.0;0.0;0.0
0.0;False;2.0;0.0;19.0;0.0;24.0;0.0;2.0;23.0;0.0625;0.0;0.0;0.0
0.0;False;3.0;0.0;8.0;0.0;13.0;0.0;3.0;12.0;0.1153846153846154;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;False;6.0;0.0;12.0;0.0;12.0;0.0;6.0;12.0;0.0;0.0;0.0;0.0
0.0;False;1.0;0.0;2.0;0.0;5.0;0.0;1.0;2.0;0.3;0.0;0.0;0.0
0.0;False;0.0;0.0;6.0;0.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
0.0;True;1.0;0.0;3.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
1.0;False;0.0;0.0;7.0;0.0;8.0;0.0;1.0;7.0;0.125;0.0;0.0;0.0
0.0;False;0.0;0.0;6.0;0.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
0.0;False;3.0;0.0;4.0;0.0;4.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0
5.0;False;0.0;0.0;20.0;0.0;23.0;0.0;5.0;20.0;0.0;0.0;0.0;0.0
5.0;False;0.0;0.0;5.0;0.0;8.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;False;0.0;0.0;3.0;0.0;3.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;7.0;0.0;8.0;0.0;2.0;7.0;0.125;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
0.0;False;3.0;0.0;1.0;0.0;2.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;2.0;0.0;3.0;0.0;1.0;3.0;0.3333333333333333;0.0;0.0;1.0
0.0;False;5.0;0.0;10.0;4.0;13.0;0.0;9.0;13.0;0.09615384615384616;1.0;0.0;4.0
0.0;False;5.0;0.0;10.0;4.0;13.0;0.0;9.0;13.0;0.09615384615384616;1.0;0.0;4.0
3.0;False;0.0;0.0;5.0;0.0;6.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
4.0;False;0.0;0.0;1.0;0.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0
3.0;False;0.0;0.0;5.0;0.0;5.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;5.0;0.0;0.0;5.0;0.2;0.0;0.0;0.0
0.0;False;0.0;0.0;4.0;0.0;6.0;0.0;0.0;5.0;0.16666666666666666;0.0;0.0;0.0
1.0;False;16.0;0.0;11.0;1.0;13.0;0.0;17.0;12.0;0.1076923076923077;1.0;0.0;0.0
1.0;False;16.0;0.0;11.0;1.0;13.0;0.0;17.0;12.0;0.1076923076923077;1.0;0.0;0.0
0.0;False;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
2.0;False;1.0;0.0;3.0;0.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0
1.0;False;5.0;0.0;6.0;0.0;11.0;0.0;6.0;7.0;0.3181818181818182;0.0;0.0;0.0
0.0;False;2.0;0.0;2.0;0.0;4.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0
2.0;False;3.0;0.0;7.0;0.0;7.0;0.0;5.0;6.0;0.14285714285714285;0.0;0.0;0.0
0.0;False;0.0;0.0;28.0;0.0;28.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0
0.0;False;4.0;0.0;9.0;0.0;9.0;0.0;4.0;9.0;0.0;0.0;0.0;0.0
0.0;False;4.0;0.0;9.0;0.0;9.0;0.0;4.0;9.0;0.0;0.0;0.0;0.0
0.0;False;4.0;0.0;9.0;0.0;9.0;0.0;4.0;9.0;0.0;0.0;0.0;0.0
